STDR_YYQU_CD,SUD_CD,RENT_FLOOR_CD,GTN_AVRG,MT_RNTCHRG_AVRG,CNVRSN_RNTCHRG,RENT_CO
20191,1123001238,02,1763093,24243,41873,1
20191,1123001251,00,1652900,0,16529,1
20191,1123001251,02,1652900,0,16529,1
20191,1123001257,00,413225,35537,39670,1
20191,1123001257,01,413225,35537,39670,1
20191,1123001270,00,402329,13411,17434,1
20191,1123001270,02,402329,13411,17434,1
20191,1123001280,00,12121267,738295,859508,1
20191,1123001280,01,12121267,738295,859508,1
20191,1123001282,00,922120,55327,64548,1
20191,1123001282,01,922120,55327,64548,1
20191,1123001284,00,1285073,0,12851,1
20191,1123001284,01,1285073,0,12851,1
20191,1123001285,00,431369,21568,25882,1
20191,1123001285,02,431369,21568,25882,1
20191,1123001297,00,5509667,253445,308541,1
20191,1123001297,01,5509667,253445,308541,1
20191,1123001306,00,1101933,88155,99174,1
20191,1123001306,02,1101933,88155,99174,1
20191,1123001315,00,0,10018,10018,1
20191,1123001315,02,0,10018,10018,1
20191,1123001335,00,795542,48710,56666,4
20191,1123001335,01,808758,48526,56613,1
20191,1123001335,02,782325,48895,56719,3
20191,1123001337,00,3305800,440773,473831,1
20191,1123001337,01,3305800,440773,473831,1
20191,1123001338,00,1485265,158945,173797,3
20191,1123001338,01,1485265,158945,173797,3
20191,1123001341,00,3249587,331235,363731,3
20191,1123001341,01,952530,80072,89597,2
20191,1123001341,02,5546644,582398,637864,1
20191,1123001342,00,1502636,62610,77636,1
20191,1123001342,01,1502636,62610,77636,1
20191,1123001346,00,557675,74770,80347,5
20191,1123001346,01,1001758,100176,110193,1
20191,1123001346,02,113592,49365,50501,4
20191,1123001347,00,406918,28484,32553,1
20191,1123001347,02,406918,28484,32553,1
20191,1123001349,00,277798,27780,30558,1
20191,1123001349,02,277798,27780,30558,1
20191,1123001350,00,290901,13091,16000,1
20191,1123001350,02,290901,13091,16000,1
20191,1123001351,00,2618055,196450,222631,4
20191,1123001351,01,3583210,213837,249669,2
20191,1123001351,02,1652900,179064,195593,2
20191,1123001352,00,220387,110193,112397,1
20191,1123001352,02,220387,110193,112397,1
20191,1123001353,00,342359,30607,34030,4
20191,1123001353,02,342359,30607,34030,4
20191,1123001355,00,195378,15630,17584,1
20191,1123001355,01,195378,15630,17584,1
20191,1123001357,00,3082331,208057,238881,1
20191,1123001357,01,3082331,208057,238881,1
20191,1123001362,00,1374045,138321,152061,3
20191,1123001362,01,1095191,89312,100264,2
20191,1123001362,02,1652900,187329,203858,1
20191,1123001365,00,2937460,120538,149913,3
20191,1123001365,01,5509667,209367,264464,1
20191,1123001365,02,365254,31709,35362,2
20191,1123001372,00,1644677,115127,131574,1
20191,1123001372,01,1644677,115127,131574,1
20191,1123001375,00,500879,37566,42575,1
20191,1123001375,02,500879,37566,42575,1
20191,1123001376,00,1126977,90158,101428,1
20191,1123001376,01,1126977,90158,101428,1
20191,1123001378,00,0,16953,16953,1
20191,1123001378,02,0,16953,16953,1
20191,1123001379,00,1308709,19631,32718,1
20191,1123001379,01,1308709,19631,32718,1
20191,1123001381,00,3656415,305536,342100,1
20191,1123001381,01,3656415,305536,342100,1
20191,1123001389,00,361053,34300,37911,1
20191,1123001389,01,361053,34300,37911,1
20191,1123001397,00,840458,67237,75641,1
20191,1123001397,01,840458,67237,75641,1
20191,1123001399,00,125220,17531,18783,1
20191,1123001399,02,125220,17531,18783,1
20191,1123001401,00,521173,33876,39088,1
20191,1123001401,02,521173,33876,39088,1
20191,1123001403,00,1141662,44143,55560,6
20191,1123001403,01,1903339,50088,69121,1
20191,1123001403,02,379984,38199,41999,5
20191,1123001406,00,1524560,63754,79000,1
20191,1123001406,01,1524560,63754,79000,1
20191,1123001407,00,0,76288,76288,1
20191,1123001407,01,0,76288,76288,1
20191,1123001409,00,688708,48210,55097,1
20191,1123001409,01,688708,48210,55097,1
20191,1123001414,00,625625,68819,75075,1
20191,1123001414,01,625625,68819,75075,1
20191,1123001415,00,1886643,116482,135349,3
20191,1123001415,01,1886643,116482,135349,3
20191,1123001417,00,411186,37007,41119,1
20191,1123001417,02,411186,37007,41119,1
20191,1123001419,00,1139931,68396,79795,1
20191,1123001419,01,1139931,68396,79795,1
20191,1123001421,00,310504,26325,29430,2
20191,1123001421,01,296910,26722,29691,1
