STDR_YYQU_CD,SUD_CD,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO,RELM_AR
20191,1123000264,12,6,6,0,0,3,6,1,2,0,0,1,4,0,1,0,0,2,2,1,1,4542.37238945
20191,1123000265,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1722.51348615
20191,1123000267,7,7,0,0,0,1,2,3,1,0,0,1,2,3,1,0,0,0,0,0,0,2189.08544466
20191,1123000268,41,16,25,0,9,6,11,11,4,0,2,4,4,3,3,0,7,2,7,8,1,3047.33205643
20191,1123000273,5,4,1,0,0,2,2,1,0,0,0,2,1,1,0,0,0,0,1,0,0,1054.94377933
20191,1123000274,4,2,2,0,1,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,431.190832699
20191,1123000278,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1427.10204495
20191,1123000282,40,20,20,0,4,5,11,13,7,0,4,3,6,5,2,0,0,2,5,8,5,3938.34616373
20191,1123000285,4,4,0,0,0,0,3,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1359.65455617
20191,1123000288,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1980.02887542
20191,1123000291,3,2,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,793.763677092
20191,1123000292,6,4,2,0,0,0,3,1,2,0,0,0,2,0,2,0,0,0,1,1,0,2326.45340104
20191,1123000294,4,1,3,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,3,0,3352.07177196
20191,1123000298,7,2,5,0,0,3,0,4,0,0,0,1,0,1,0,0,0,2,0,3,0,1609.92128135
20191,1123000299,3,1,2,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,4411.92833885
20191,1123000308,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1846.77846026
20191,1123000311,287,179,108,0,20,28,37,92,110,0,15,16,26,59,63,0,5,12,11,33,47,12826.3621649
20191,1123000313,64,31,33,0,2,16,16,17,13,0,1,8,9,6,7,0,1,8,7,11,6,12629.6218867
20191,1123000317,5,4,1,0,0,3,2,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3370.5653296
20191,1123000318,8,4,4,0,0,2,3,3,0,0,0,2,2,0,0,0,0,0,1,3,0,3924.42055462
20191,1123000321,36,12,24,0,4,5,9,12,6,0,0,0,2,4,6,0,4,5,7,8,0,3145.08825278
20191,1123000322,80,37,43,0,23,11,15,18,13,0,14,5,7,7,4,0,9,6,8,11,9,5494.435008
20191,1123000323,41,11,30,0,15,10,9,5,2,0,2,3,3,1,2,0,13,7,6,4,0,2897.72268167
20191,1123000325,27,10,17,0,5,11,3,7,1,0,0,5,2,2,1,0,5,6,1,5,0,3840.40697757
20191,1123000326,20,12,8,0,3,6,5,2,4,0,3,3,4,0,2,0,0,3,1,2,2,1586.65281294
20191,1123000329,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1998.48206724
20191,1123000332,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3759.87692997
20191,1123000334,50,18,32,0,10,2,8,16,14,0,5,2,5,3,3,0,5,0,3,13,11,6665.12189398
20191,1123000336,2,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,628.059234414
20191,1123000337,38,22,16,0,6,10,9,6,7,0,0,7,6,4,5,0,6,3,3,2,2,7347.94807207
20191,1123000339,29,14,15,0,6,5,13,3,2,0,1,3,8,1,1,0,5,2,5,2,1,5393.1096788
20191,1123000340,2,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2959.49294384
20191,1123000341,10,8,2,0,1,0,4,3,2,0,1,0,2,3,2,0,0,0,2,0,0,1422.66357744
20191,1123000342,12,3,9,0,0,0,2,4,6,0,0,0,1,2,0,0,0,0,1,2,6,3548.83810834
20191,1123000343,8,5,3,0,3,1,3,0,1,0,2,1,1,0,1,0,1,0,2,0,0,2410.66251465
20191,1123000346,24,16,8,0,1,2,3,8,10,0,0,0,1,6,9,0,1,2,2,2,1,2914.34643421
20191,1123000351,51,19,32,0,7,9,18,15,2,0,2,4,5,7,1,0,5,5,13,8,1,6009.65176534
20191,1123000353,3,2,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,4416.74960542
20191,1123000354,127,91,36,0,30,38,31,19,9,0,22,31,19,11,8,0,8,7,12,8,1,7580.06307624
20191,1123000355,11,7,4,0,0,2,2,5,2,0,0,1,1,3,2,0,0,1,1,2,0,2469.91902325
20191,1123000356,7,5,2,0,0,3,2,1,1,0,0,3,1,0,1,0,0,0,1,1,0,2822.92023745
20191,1123000357,8,4,4,0,1,1,3,2,1,0,0,0,2,1,1,0,1,1,1,1,0,3348.9286446
20191,1123000358,7,5,2,0,0,1,0,5,1,0,0,0,0,4,1,0,0,1,0,1,0,1726.38569282
20191,1123000359,65,16,49,0,5,16,25,15,4,0,0,4,4,4,4,0,5,12,21,11,0,7190.05473792
20191,1123000360,31,17,14,0,4,8,10,8,1,0,2,6,6,2,1,0,2,2,4,6,0,4869.81765984
20191,1123000361,27,21,6,0,1,3,9,11,3,0,1,0,9,9,2,0,0,3,0,2,1,4014.57137912
20191,1123000362,3,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,9771.76354043
20191,1123000364,36,19,17,0,5,7,4,10,10,0,1,3,2,6,7,0,4,4,2,4,3,6876.32152484
20191,1123000365,61,34,27,1,1,14,24,16,5,1,0,5,12,12,4,0,1,9,12,4,1,5372.32479558
20191,1123000366,41,12,29,0,6,7,8,13,7,0,2,1,1,5,3,0,4,6,7,8,4,4162.11914876
20191,1123000368,10,5,5,0,0,2,4,3,1,0,0,2,1,1,1,0,0,0,3,2,0,2351.50251293
20191,1123000369,20,11,9,0,3,4,5,7,1,0,2,1,4,3,1,0,1,3,1,4,0,4316.36084581
20191,1123000370,3,3,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1455.83291904
20191,1123000371,11,9,2,0,0,1,7,3,0,0,0,0,6,3,0,0,0,1,1,0,0,1550.74502717
20191,1123000372,29,1,28,0,1,0,1,13,14,0,0,0,0,1,0,0,1,0,1,12,14,1115.26464071
20191,1123000373,15,3,12,0,1,2,1,5,6,0,1,1,0,1,0,0,0,1,1,4,6,4975.55561046
20191,1123000375,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2225.89671569
20191,1123000376,3,2,1,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2487.90743202
