STDR_YM_CD,SUD_CD,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC
202212,1123002115,1,0,11,0,0,0,0,0,0,0,0,2,9,85,605545454.545454545454545454545454545455
202212,1123002117,4,34,1,0,0,0,6,28,1,0,0,0,0,179,480947727.272727272727272727272727272727
202212,1123002118,1,0,0,11,0,0,0,0,0,0,0,0,11,114,652272727.272727272727272727272727272727
202212,1123002119,1,0,0,11,0,0,0,0,0,0,0,0,11,114,665272727.272727272727272727272727272727
202212,1123002120,1,11,0,0,0,0,0,0,0,0,6,5,0,59.63636363636363636363636363636363636364,498727272.727272727272727272727272727273
202212,1123002122,1,0,11,0,0,0,0,0,0,0,0,4,7,85,596363636.363636363636363636363636363636
202212,1123002123,1,11,0,0,0,0,0,0,1,10,0,0,0,55.63636363636363636363636363636363636364,336636363.636363636363636363636363636364
202212,1123002124,1,11,0,0,0,0,0,0,0,0,11,0,0,59,473636363.636363636363636363636363636364
202212,1123002125,1,0,0,11,0,0,0,0,0,0,4,7,0,116,488818181.818181818181818181818181818182
202212,1123002126,1,0,11,0,0,0,0,0,0,0,0,4,7,85,598545454.545454545454545454545454545455
202212,1123002127,1,0,0,11,0,0,0,0,0,0,0,0,11,114,652272727.272727272727272727272727272727
202212,1123002128,1,0,11,0,0,0,0,0,0,0,11,0,0,85,433363636.363636363636363636363636363636
202212,1123002129,1,11,0,0,0,0,0,0,0,0,6,5,0,59.63636363636363636363636363636363636364,498727272.727272727272727272727272727273
202212,1123002130,1,0,11,0,0,0,0,0,0,0,11,0,0,85,439909090.909090909090909090909090909091
202212,1123002131,1,0,5,6,0,0,0,0,0,0,7,4,0,107.909090909090909090909090909090909091,469818181.818181818181818181818181818182
202212,1123002132,1,11,0,0,0,0,0,0,0,0,6,5,0,59.63636363636363636363636363636363636364,498727272.727272727272727272727272727273
202212,1123002133,1,11,0,0,0,0,0,0,0,0,6,5,0,59.63636363636363636363636363636363636364,498727272.727272727272727272727272727273
202212,1123002134,1,0,0,11,0,0,0,0,0,0,4,7,0,127,511727272.727272727272727272727272727273
202212,1123002135,1,0,11,0,0,0,0,0,0,0,0,4,7,85,596636363.636363636363636363636363636364
202212,1123002136,1,0,0,11,0,0,0,0,0,0,5,6,0,127,506909090.909090909090909090909090909091
202212,1123002137,3,30,0,1,0,0,8,10,12,1,0,0,0,147.454545454545454545454545454545454545,500018560.60606060606060606060606060606
202212,1123002138,1,0,10,2,0,0,0,0,0,0,10,0,2,89,507583333.333333333333333333333333333333
202212,1123002139,1,0,0,11,0,0,0,0,0,0,5,6,0,127,506909090.909090909090909090909090909091
202212,1123002140,1,0,0,11,0,0,0,0,0,0,4,7,0,116,492454545.454545454545454545454545454545
202212,1123002141,1,0,3,8,0,0,0,0,0,0,0,2,9,106.090909090909090909090909090909090909,640181818.181818181818181818181818181818
202212,1123002144,1,0,11,0,0,0,0,0,0,0,0,4,7,85,596636363.636363636363636363636363636364
202212,1123002146,1,11,0,0,0,0,0,0,0,11,0,0,0,60,363545454.545454545454545454545454545455
202212,1123002150,1,0,11,0,0,0,0,0,0,0,11,0,0,85,433636363.636363636363636363636363636364
202212,1123002151,1,7,0,0,0,0,1,6,0,0,0,0,0,49.57142857142857142857142857142857142857,119457142.857142857142857142857142857143
202212,1123002153,3,56,2,0,0,0,1,18,39,0,0,0,0,282.825,1216525000
202212,1123002154,1,8,0,0,0,0,0,0,8,0,0,0,0,59.5,236000000
202212,1123002158,2,22,0,0,0,0,1,16,5,0,0,0,0,67.27272727272727272727272727272727272727,336663636.363636363636363636363636363637
202212,1123002161,1,0,0,11,0,0,0,0,0,0,4,7,0,116,492454545.454545454545454545454545454545
202212,1123002163,1,0,0,11,0,0,0,0,0,0,4,7,0,116,492454545.454545454545454545454545454545
202212,1123002164,1,11,0,0,0,0,0,0,1,10,0,0,0,54.18181818181818181818181818181818181818,346545454.545454545454545454545454545455
202212,1123002165,1,10,0,0,0,0,0,0,10,0,0,0,0,46.2,232100000
202212,1123002169,1,10,0,0,0,0,1,9,0,0,0,0,0,23.9,118960000
202212,1123002171,1,6,4,0,0,0,0,5,5,0,0,0,0,64.9,193800000
202212,1123002175,1,11,0,0,0,0,0,0,0,11,0,0,0,60,369636363.636363636363636363636363636364
202212,1123002176,3,22,0,0,0,0,1,14,7,0,0,0,0,103.627777777777777777777777777777777778,461196666.666666666666666666666666666667
202212,1123002178,2,10,0,0,0,0,0,5,5,0,0,0,0,104.25,344250000
202212,1123002180,1,12,0,0,0,0,1,11,0,0,0,0,0,42.41666666666666666666666666666666666667,117366666.666666666666666666666666666667
202212,1123002188,1,0,12,0,0,0,0,0,0,0,0,0,12,85,666250000
202212,1123002191,5,43,4,0,0,0,2,20,25,0,0,0,0,264.097727272727272727272727272727272727,986821590.909090909090909090909090909091
202212,1123002192,1,0,12,0,0,0,0,0,0,0,0,2,10,85,659083333.333333333333333333333333333333
202212,1123002195,1,0,12,0,0,0,0,0,0,0,0,2,10,85,659083333.333333333333333333333333333333
202212,1123002196,1,0,12,0,0,0,0,0,0,0,0,1,11,85,661000000
202212,1123002198,3,10,2,1,0,0,0,10,3,0,0,0,0,193.285714285714285714285714285714285714,535571428.571428571428571428571428571429
202212,1123002199,2,11,2,0,0,0,0,5,8,0,0,0,0,105.9,325950000
202212,1123002200,1,5,1,0,0,0,0,6,0,0,0,0,0,47.33333333333333333333333333333333333333,123000000
202212,1123002201,2,4,8,0,0,0,0,4,8,0,0,0,0,136,434125000
202212,1123002202,1,6,0,0,0,0,3,3,0,0,0,0,0,19.83333333333333333333333333333333333333,98400000
202212,1123002205,1,0,0,12,0,0,0,0,0,0,0,0,12,115,812416666.666666666666666666666666666667
202212,1123002206,1,6,0,0,0,0,2,4,0,0,0,0,0,40,108433333.333333333333333333333333333333
202212,1123002208,1,0,9,3,0,0,0,0,0,0,0,0,12,92.5,699333333.333333333333333333333333333333
