STDR_YM_CD,SUD_CD,VIATR_FCLTY_CO,PBLOFC_CO,BANK_CO,GEHSPT_CO,GNRL_HSPTL_CO,PARMACY_CO,KNDRGR_CO,ELESCH_CO,MSKUL_CO,HGSCHL_CO,UNIV_CO,DRTS_CO,SUPMK_CO,THEAT_CO,STAYNG_FCLTY_CO,ARPRT_CO,RLROAD_STATN_CO,BUS_TRMINL_CO,SUBWAY_STATN_CO,BUS_STTN_CO
202012,1123001417,2,,1,,,,,,,,,,,,,,,,,
202012,1123001421,3,,,,,,1,,,,,,,,,,,,,
202012,1123001425,2,,,,,,,,,,,,,,,,,,,
202012,1123001426,1,1,,,,,,,,,,,,,,,,,,
202012,1123001434,2,,,,,,,,,,,,,,,,,,,2
202012,1123001442,5,,,,,1,,,,,,,,,,,,,,2
202012,1123001444,1,,,,,,,1,,,,,,,,,,,,
202012,1123001449,1,,,,,,,,,,,,,,,,,,,
202012,1123001452,1,,,,,1,,,,,,,,,,,,,,
202012,1123001455,1,,,,,,,,,,,,,,,,,,,
202012,1123001456,3,,1,,,,,,,,,,,,,,,,,2
202012,1123001460,2,,,,,,,,,,,,,,,,,,,2
202012,1123001461,2,,,,,,,,,,,,,,,,,,,2
202012,1123001462,2,,,,,,,,,,,,,,,,,,,1
202012,1123001464,1,,,,,,,,,,,,,,,,,,,
202012,1123001465,2,,,,,,,,1,,,,,,,,,,,1
202012,1123001467,1,,,,,,,,,,,,,,,,,,,
202012,1123001473,1,1,,,,,,,,,,,,,,,,,,
202012,1123001474,3,,,,,1,,,,,,,,,,,,,,
202012,1123001483,1,,,,,,,,1,,,,,,,,,,,
202012,1123001486,2,1,,,,,1,,,,,,,,,,,,,
202012,1123001491,3,,,,,,,,,,,,,,,,,,,2
202012,1123001494,4,1,,,,,,,,,,,,,,,,,,
202012,1123001495,1,,,,,,,,,,,,,,,,,,,1
202012,1123001505,1,,,,,1,,,,,,,,,,,,,,
202012,1123001509,1,,,,,,,,,,,,,,,,,,,
202012,1123001513,1,,,,,,,,,,,,,,,,,,,
202012,1123001514,3,,,,,1,,,,,,,,,,,,,,1
202012,1123001516,1,,,,,,,,,,,,,,,,,,,
202012,1123001521,1,,,,,1,,,,,,,,,,,,,,
202012,1123001526,1,,,,,,,,,,,,,,,,,,,
202012,1123001527,2,,,,,,,,,,,,,,,,,,,2
202012,1123001532,5,,,,,,,,,,,,,,,,,,,
202012,1123001534,3,,,,,,,,,,,,,,,,,,,2
202012,1123001536,1,,,,,,,,,,,,,,,,,,,
202012,1123001543,1,,,,,,,,,,,,,,,,,,,
202012,1123001551,3,,,,,2,,,,,,,,,,,,,,
202012,1123001559,1,,,,,,,,,,,,,,,,,,,
202012,1123001561,1,,,,,,,,,,,,,,,,,,,
202012,1123001564,2,,,,,1,,,,,,,,,,,,,,
202012,1123001573,2,,,,,,,,,,,,,,,,,,,
202012,1123001577,3,,1,,,,,,,,,,,,,,,,,1
202012,1123001584,8,,1,,,1,,,,,,,,,,,,,,2
202012,1123001588,1,,,,,,,,,,,,,,,,,,,
202012,1123001589,2,,,,,1,,,,,,,,,,,,,,1
202012,1123001591,1,,,,,,,,,,,,,,,,,,,
202012,1123001592,1,,,,,,,,,,,,,,,,,,,
202012,1123001593,9,,1,,,1,,,,,,,,,,,,,,
202012,1123001594,3,,,,1,1,,,,,,,,,,,,,,1
202012,1123001595,2,1,,,,,,,,,,,,,,,,,,
202012,1123001596,3,,,,,1,,,,,,,,,,,,,,1
202012,1123001597,4,,,,,1,,,,,,,,,,,,,,
202012,1123001606,2,,,,,,,,,,,,,,,,,,,2
202012,1123001608,1,,,,,,,,,,,,,,,,,,,
202012,1123001609,3,,,,,1,,,,,,,,,,,,,,1
202012,1123001610,1,,,,,,,,,,,,,,,,,,,
202012,1123001611,1,,,,,,,,,,,,,,,,,,,
202012,1123001617,3,,,,,,,,,,,,,,1,,,,,2
202012,1123001619,1,,,,,,,,,,,,,,,,,,,1
202012,1123001623,3,,,,,,,,,,,,,,,,,,,
202012,1123001625,3,,,,,,,,,,,,,,,,,,,
202012,1123001630,2,,,,,,,,,,,,,,,,,,,
202012,1123001633,2,,,,,,,,,,,,,,,,,,,2
202012,1123001634,8,,,,,,,,,,,,,,,,,,,1
202012,1123001635,3,,,,,1,,,,,,,,1,,,,,,
202012,1123001636,1,,,,,,,,,,,,,,,,,,,
